HTR4	Q13639
VPS29	Q9UBQ0
FRMPD4	Q14CM0
FRMPD1	Q5SYB0
RRP1	P56182
FRMPD2	Q68DX3
GRPR	P30550
ELK1	P19419
RRP8	O43159
ELK3	P41970
RRP9	O43818
ELK4	P28324
ALCAM	Q13740
VPS35	Q96QK1
VPS36	Q86VN1
VPS39	Q96JC1
VPS18	Q9P253
KRTAP4-12	Q9BQ66
KRTAP4-11	Q9BYQ6
TARS2	Q9BW92
VPS25	Q9BRG1
VPS28	Q9UK41
ST3GAL4	Q11206
VPS11	Q9H270
RRS1	Q15050
ST3GAL5	Q9UNP4
ST3GAL6	Q9Y274
ST3GAL1	Q11201
ST3GAL2	Q16842
ST3GAL3	Q11203
VPS16	Q9H269
PLK4	O00444
NFE2	Q16621
PLK3	Q9H4B4
ARL14EP	Q8N8R7
NFE4	Q86UQ8
APOOL	Q6UXV4
GTF2IRD2	Q86UP8
PLK2	Q9NYY3
PLK1	P53350
ELL2	O00472
ELL3	Q9HB65
GTF2IRD1	Q9UHL9
RSPH10B	P0C881
ELOA	Q14241
ELOB	Q15370
ELOC	Q15369
RPS6KL1	Q9Y6S9
EXOC8	Q8IYI6
EXOC7	Q9UPT5
PLLP	Q9Y342
EXOC4	Q96A65
EXOC3	O60645
EXOC6	Q8TAG9
EXOC5	O00471
EXOC2	Q96KP1
EXOC1	Q9NV70
NFIX	Q14938
C1orf198	Q9H425
PRUNE2	Q8WUY3
PRUNE1	Q86TP1
METTL21A	Q8WXB1
APOL5	Q9BWW9
APOL4	Q9BPW4
METTL21C	Q5VZV1
APOL6	Q9BWW8
APOL1	O14791
APOL3	O95236
APOL2	Q9BQE5
ELP1	O95163
RFLNB	Q8N5W9
ELP2	Q6IA86
ELP3	Q9H9T3
ELP4	Q96EB1
ELP5	Q8TE02
ELP6	Q0PNE2
RFLNA	Q6ZTI6
NFIA	Q12857
NFIB	O00712
NFIC	P08651
PLP1	P60201
PLP2	Q04941
FAM49A	Q9H0Q0
FAM49B	Q9NUQ9
C1orf174	Q8IYL3
LCLAT1	Q6UWP7
THG1L	Q9NWX6
CFL2	Q9Y281
CFL1	P23528
PLS3	P13797
IL13RA2	Q14627
PLS1	Q14651
IL13RA1	P78552
KCMF1	Q9P0J7
C1orf189	Q5VU69
COL27A1	Q8IZC6
FKBPL	Q9UIM3
LEMD3	Q9Y2U8
LEMD2	Q8NC56
LEMD1	Q68G75
TOM1L1	O75674
TOM1L2	Q6ZVM7
OBSCN	Q5VST9
FKBP8	Q14318
FKBP7	Q9Y680
FKBP9	O95302
FKBP4	Q02790
FKBP3	Q00688
FKBP6	O75344
FKBP5	Q13451
FKBP2	P26885
PLTP	P55058
C1orf167	Q5SNV9
C1orf162	Q8NEQ5
C1orf159	Q96HA4
SLC48A1	Q6P1K1
ZC3H4	Q9UPT8
C1orf131	Q8NDD1
ZC3H3	Q8IXZ2
ZC3H8	Q8N5P1
ZC3H6	P61129
VPS72	Q15906
EVI5L	Q96CN4
APOA2	P02652
APOA1	P02647
APOA4	P06727
APOA5	Q6Q788
HDAC4	P56524
HDAC5	Q9UQL6
CEBPA	P49715
HDAC2	Q92769
CEBPB	P17676
C1orf112	Q9NSG2
HDAC3	O15379
CEBPD	P49716
HDAC1	Q13547
CEBPE	Q15744
VPS4B	O75351
CEBPG	P53567
VPS4A	Q9UN37
TULP4	Q9NRJ4
TULP3	O75386
TULP2	O00295
TULP1	O00294
HDAC8	Q9BY41
HDAC9	Q9UKV0
HDAC6	Q9UBN7
HDAC7	Q8WUI4
NFS1	Q9Y697
HECTD1	Q9ULT8
VPS51	Q9UID3
HECTD2	Q5U5R9
VPS50	Q96JG6
HECTD3	Q5T447
VPS53	Q5VIR6
HECTD4	Q9Y4D8
VPS52	Q8N1B4
XIRP1	Q702N8
VPS54	Q9P1Q0
XIRP2	A4UGR9
C1orf109	Q9NX04
C1orf105	O95561
MGME1	Q9BQP7
C1orf122	Q6ZSJ8
APOC4	P55056
APOC3	P02656
APOBR	Q0VD83
EVI2A	P22794
APOC2	P02655
VPS41	P49754
APOC1	P02654
CEBPZ	Q03701
VPS45	Q9NRW7
EVI2B	P34910
C1orf116	Q9BW04
C1orf115	Q9H7X2
DCAF4L1	Q3SXM0
MISP3	Q96FF7
DCAF4L2	Q8NA75
C6orf89	Q6UWU4
RPS6KA4	O75676
NFU1	Q9UMS0
NIPAL4	Q0D2K0
RPS6KA3	P51812
RPS6KA6	Q9UK32
RPS6KA5	O75582
NIPAL1	Q6NVV3
RPS6KA2	Q15349
NIPAL2	Q9H841
OR52L2P	Q8NGH6
RPS6KA1	Q15418
NIPAL3	Q6P499
GSC2	O15499
TWSG1	Q9GZX9
GSAP	A4D1B5
OBSL1	O75147
CFTR	P13569
SPRR2E	P22531
SLC22A4	Q9H015
SLC22A3	O75751
SPRR2F	Q96RM1
SLC22A6	Q4U2R8
SPRR2G	Q9BYE4
SLC22A5	O76082
SLC22A2	O15244
SLC22A1	O15245
CRHR1	P34998
CRHR2	Q13324
GSE1	Q14687
FAM43A	Q8N2R8
SPRR2A	P35326
SPRR2B	P35325
ARGLU1	Q9NWB6
SPRR2D	P22532
MPHOSPH10	O00566
SLC22A8	Q8TCC7
SPRR1A	P35321
SLC22A7	Q9Y694
TECPR2	O15040
SPRR1B	P22528
TECPR1	Q7Z6L1
SLC22A9	Q8IVM8
FAM45A	Q8TCE6
RSF1	Q96T23
C6orf47	O95873
C6orf48	Q9UBA6
GSG1	Q2KHT4
TYK2	P29597
CFAP299	Q6V702
MTSS1	O43312
NFX1	Q12986
MEGF6	O75095
FAM47A	Q5JRC9
FAM47B	Q8NA70
TYMS	P04818
TYMP	P19971
CFAP298	P57076
C6orf62	Q9GZU0
EMC1	Q8N766
EMC2	Q15006
SUSD4	Q5VX71
EMC3	Q9P0I2
SUSD3	Q96L08
EMC4	Q5J8M3
SUSD6	Q92537
EMC6	Q9BV81
SUSD5	O60279
EMC7	Q9NPA0
EMC8	O43402
EMC9	Q9Y3B6
SLURP2	P0DP57
NFYA	P23511
NFYB	P25208
NFYC	Q13952
SUSD2	Q9UGT4
SUSD1	Q6UWL2
C6orf58	Q6P5S2
SLURP1	P55000
GSTA5	Q7RTV2
GSTA4	O15217
GSTA3	Q16772
LRRN4CL	Q8ND94
GSTA2	P09210
GSTA1	P08263
MEGF8	Q7Z7M0
SPPL2C	Q8IUH8
SPPL2B	Q8TCT7
PMCH	P20382
SPPL2A	Q8TCT8
ROGDI	Q9GZN7
PAIP2B	Q9ULR5
EME1	Q96AY2
EME2	A4GXA9
POSTN	Q15063
TRPC4AP	Q8TEL6
EMCN	Q9ULC0
MYADM	Q96S97
PMEL	P40967
ISYNA1	Q9NPH2
GSTCD	Q8NEC7
PMF1	Q6P1K2
EMG1	Q92979
TASP1	Q9H6P5
DIAPH1	O60610
DIAPH2	O60879
DIAPH3	Q9NSV4
PXMP2	Q9NR77
PXMP4	Q9Y6I8
COLGALT2	Q8IYK4
CGB8	P0DN86
CGB5	P0DN86
CGAS	Q8N884
CGB3	P0DN86
CGB2	Q6NT52
CGB1	A6NKQ9
NTMT1	Q9BV86
COLGALT1	Q8NBJ5
OXSR1	O95747
CFAP206	Q8IYR0
PDE11A	Q9HCR9
RPS6KC1	Q96S38
TYW1	Q9NV66
PDSS2	Q86YH6
PDSS1	Q5T2R2
ATP13A1	Q9HD20
PDE10A	Q9Y233
RPS6KB1	P23443
RPS6KB2	Q9UBS0
ATP13A4	Q4VNC1
ATP13A5	Q4VNC0
ATP13A2	Q9NQ11
ATP13A3	Q9H7F0
SCAMP5	Q8TAC9
LACTB	P83111
SCAMP4	Q969E2
CYP2D6	P10635
TYW5	A2RUC4
TYW3	Q6IPR3
NGDN	Q8NEJ9
FIBCD1	Q8N539
SCAMP1	O15126
HSPG2	P98160
EML1	O00423
SCAMP3	O14828
EML2	O95834
SCAMP2	O15127
EML3	Q32P44
EML4	Q9HC35
EML5	Q05BV3
EML6	Q6ZMW3
PRKAR1B	P31321
PRKAR1A	P10644
GDF5OS	Q5U4N7
CYP2E1	P05181
RBCK1	Q9BYM8
NGEF	Q8N5V2
SHOX2	O60902
AAAS	Q9NRG9
GRIN2A	Q12879
CYP2B6	P20813
HSPH1	Q92598
PRKAR2B	P31323
PRKAR2A	P13861
RSU1	Q15404
EXPH5	Q8NEV8
NGFR	P08138
GLYATL3	Q5SZD4
GLYATL2	Q8WU03
GLYATL1	Q969I3
PMM1	Q92871
PMM2	O15305
GRIN2C	Q14957
GRIN2B	Q13224
GRIN2D	O15399
CYP2C9	P11712
CYP2C8	P10632
GRIN3B	O60391
GRIN3A	Q8TCU5
LACRT	Q9GZZ8
LAD1	O00515
AACS	Q86V21
NIPBL	Q6KC79
APPL2	Q8NEU8
APPL1	Q9UKG1
NIPA1	Q7RTP0
EMP1	P54849
EMP2	P54851
EMP3	P54852
NIPA2	Q8N8Q9
FAHD2A	Q96GK7
FAHD2B	Q6P2I3
PICK1	Q9NRD5
PMP2	P02689
MYCT1	Q8N699
PMS2	P54278
CYP2F1	P24903
PMS1	P54277
GSX1	Q9H4S2
AADAT	Q8N5Z0
GSX2	Q9BZM3
AADAC	P22760
RIMBP2	O15034
RIMBP3	Q9UFD9
HDDC2	Q7Z4H3
UBE2D4	Q9Y2X8
FAM13B	Q9NYF5
FAM13C	Q8NE31
UBE2D2	P62837
UBE2D3	P61077
FAM13A	O94988
UBE2D1	P51668
HDDC3	Q8N4P3
PMPCB	O75439
PMPCA	Q9NRR6
LAG3	P18627
UBE2E3	Q969T4
UBE2E1	P51965
UBE2E2	Q96LR5
EMSY	Q7Z589
FBLIM1	Q8WUP2
TNFRSF11B	O00300
TNFRSF11A	Q9Y6Q6
NTPCR	Q9BSD7
SOCS2	O14508
SOCS3	O14543
SOCS1	O15524
PMVK	Q15126
SOCS6	O14544
SOCS7	O14512
SOCS4	Q8WXH5
SOCS5	O75159
COL28A1	Q2UY09
BRPF1	P55201
BRPF3	Q9ULD4
GFPT2	O94808
GFPT1	Q06210
TNFRSF10C	O14798
TNFRSF10B	O14763
BCDIN3D	Q7Z5W3
TNFRSF10A	O00220
TNFRSF10D	Q9UBN6
TFCP2	Q12800
AAK1	Q2M2I8
ANXA2P2	A6NMY6
MYD88	Q99836
DRAXIN	Q8NBI3
ST6GALNAC1	Q9NSC7
ST6GALNAC2	Q9UJ37
ATRAID	Q6UW56
MRPL4	Q9BYD3
NGRN	Q9NPE2
MRPL3	P09001
MRPL2	Q5T653
MRPL1	Q9BYD6
DGCR8	Q8WYQ5
MRPL9	Q9BYD2
DGCR6	Q14129
EID2B	Q96D98
SLFN12L	Q6IEE8
DGCR2	P98153
PTCRA	Q6ISU1
EMX1	Q04741
EMX2	Q04743
RAD23A	P54725
RAD23B	P54727
CYP2A7	P20853
CYP2A6	P11509
IL1RAPL2	Q9NP60
IL1RAPL1	Q9NZN1
ST6GALNAC3	Q8NDV1
ST6GALNAC4	Q9H4F1
ST6GALNAC5	Q9BVH7
ST6GALNAC6	Q969X2
SLC47A2	Q86VL8
SLC47A1	Q96FL8
CECR2	Q9BXF3
PTPRZ1	P23471
AAMP	Q13685
C1orf226	A1L170
BAIAP2	Q9UQB8
BAIAP3	O94812
VIPAS39	Q9H9C1
RTCA	O00442
RTCB	Q9Y3I0
UBE2L6	O14933
UBE2L3	P68036
ENTPD1	P49961
ENTPD2	Q9Y5L3
ENTPD3	O75355
ENTPD4	Q9Y227
ENTPD5	O75356
ENTPD6	O75354
ENTPD7	Q9NQZ7
ENTPD8	Q5MY95
VWA5B2	Q8N398
VWA5B1	Q5TIE3
ASRGL1	Q7L266
LAP3	Q59E93
C1orf216	Q8TAB5
RTF2	Q9BY42
RTF1	Q92541
UBE2J2	Q8N2K1
AARD	Q4LEZ3
UBE2J1	Q9Y385
ERC2-IT1	O76042
SPATA5L1	Q9BVQ7
LARS	Q9P2J5
AAR2	Q9Y312
WAPL	Q7Z5K2
KLHL30-AS1	Q8NEE0
AARS	P49588
TNFRSF13B	O14836
AATK	Q6ZMQ8
WASL	O00401
TNFRSF13C	Q96RJ3
IER3IP1	Q9Y5U9
AATF	Q9NY61
MYDGF	Q969H8
IMMP2L	Q96T52
ENC1	O14682
FAM170A	A1A519
AASS	Q9UDR5
WARS	P23381
TNFRSF12A	Q9NP84
MRPS2	Q9Y399
MRPS7	Q9Y2R9
MRPS6	P82932
MRPS5	P82675
LAT2	Q9GZY6
ENAH	Q8N8S7
IMMP1L	Q96LU5
MRPS9	P82933
ENAM	Q9NRM1
PNCK	Q6P2M8
CXorf40A	Q8TE69
GREB1L	Q9C091
FAAP24	Q9BTP7
NEDD9	Q14511
NEDD8	Q15843
CRIP2	P52943
CRIP3	Q6Q6R5
FAAP20	Q6NZ36
CRIP1	P50238
ARVCF	O00192
FAM172A	Q8WUF8
SCAND1	P57086
NPDC1	Q9NQX5
YIPF1	Q9Y548
YIPF2	Q9BWQ6
YIPF3	Q9GZM5
YIPF4	Q9BSR8
YIPF5	Q969M3
HUWE1	Q7Z6Z7
KLK13	Q9UKR3
CRIPT	Q9P021
KLK14	Q9P0G3
UBE2G1	P62253
KLK15	Q9H2R5
UBE2G2	P60604
KLK10	O43240
KLK11	Q9UBX7
KLK12	Q9UKR0
NEDD1	Q8NHV4
NEDD4	P46934
YIPF6	Q96EC8
FAM171B	Q6P995
SH3GL3	Q99963
RTL1	A6NKG5
RTKN	Q9BST9
BCCIP	Q9P287
RTL9	Q8NET4
OGDHL	Q9ULD0
RTL6	Q6ICC9
CFAP300	Q9BRQ4
RTL4	Q6ZR62
C11orf1	Q9H5F2
FAM174A	Q8TBP5
SH3GL2	Q99962
SH3GL1	Q99961
LAX1	Q8IWV1
FAM173B	XP_011512266
FAM173A	Q9BQD7
UBE2V2	Q15819
UBE2V1	Q13404
RTN2	O75298
RTN3	O95197
RTN1	Q16799
CHAT	P28329
RTN4	Q9NQC3
CHAD	O15335
CRIM1	Q9NZV1
LAYN	Q6UX15
RTP4	Q96DX8
RTP5	Q14D33
RTP2	Q5QGT7
RTP3	Q9BQQ7
RTP1	P59025
CHD9	Q3L8U1
CHD8	Q9HCK8
CHD7	Q9P2D1
CHD6	Q8TD26
CHD5	Q8TDI0
CHD4	Q14839
CHD3	Q12873
CHD2	O14647
CHD1	O14646
PIDD1	Q9HB75
FAM178B	Q8IXR5
UBE2Q1	Q7Z7E8
UBE2Q2	Q8WVN8
RFPL1	O75677
RFPL2	O75678
RFPL3	O75679
CIP2A	Q8TCG1
FAM177B	A6PVY3
UBE2R2	Q712K3
CHDH	Q8NE62
PNKP	Q96T60
TGFBRAP1	Q8WUH2
UBE2NL	Q5JXB2
CHGA	P10645
LRWD1	Q9UFC0
CHFR	Q96EP1
PNKD	Q8N490
ACIN1	Q9UKV3
PNMT	P11086
DPY19L2P1	Q6NXN4
ABAT	P80404
ENO1	P06733
ENO2	P09104
ENO3	P13929
ENO4	A6NNW6
RNF115	Q9Y4L5
RNF114	Q9Y508
CYP1B1	Q16678
RTTN	Q86VV8
RNF111	Q6ZNA4
CHGB	P05060
CHIA	Q9BZP6
CPED1	A4D0V7
RNF123	Q5XPI4
RNF126	Q9BV68
RNF125	Q96EQ8
RNF128	Q8TEB7
ANKK1	Q8NFD2
ALG10B	Q5I7T1
RNF122	Q9H9V4
RNF121	Q9H920
PNPO	Q9NVS9
CHKB	Q9Y259
CHKA	P35790
PNO1	Q9NRX1
GPR137B	O60478
GPR137C	NP_001093122
CPEB1	Q9BZB8
RNF103	O00237
CYP1A2	P05177
PNOC	Q13519
CYP1A1	P04798
CPEB3	Q8NE35
CPEB2	Q7Z5Q1
CPEB4	Q17RY0
VSIG10L	Q86VR7
RNF157	Q96PX1
ZCWPW2	Q504Y3
ZCWPW1	Q9H0M4
CHL1	O00533
ENSA	O43768
RNF151	Q2KHN1
RNF150	Q9ULK6
RNF152	Q8N8N0
RNF168	Q8IYW5
RNF167	Q9H6Y7
RNF169	Q8NCN4
RNF166	Q96A37
CCDC90B	Q9GZT6
RNF165	Q6ZSG1
RNF135	Q8IUD6
RNF139	Q8WU17
RNF138	Q8WVD3
CHN2	P52757
CHN1	P15882
CHML	P26374
RNF130	Q86XS8
RNF133	Q8WVZ7
TIMMDC1	Q9NPL8
MYBPH	Q13203
RNF146	Q9NTX7
RNF145	Q96MT1
ABI2	Q9NYB9
ABI3	Q9P2A4
RNF149	Q8NC42
ABI1	Q8IZP0
RNF141	Q8WVD5
CHPF	Q8IZ52
FAM25C	B3EWG5
HJURP	Q8NCD3
RNF19B	Q6ZMZ0
SERTM1	A2A2V5
RNF19A	Q9NV58
CHP2	O43745
CHP1	Q99653
FAM24B	Q8N5W8
NHP2	Q9NX24
ENY2	Q9NPA8
RNF180	Q86T96
CHRD	Q9H2X0
TBXA2R	P21731
ABL1	P00519
PPIAL4A	Q9Y536
ABL2	P42684
RNF170	Q96K19
PPIAL4C	A0A0B4J2A2
RNF175	Q8N4F7
RPL37AP8	A6NKH3
PPIAL4D	F5H284
PPIAL4G	P0DN37
PPIAL4F	P0DN26
TVP23A	A6NH52
TVP23B	Q9NYZ1
TVP23C	Q96ET8
RNF182	Q8N6D2
RNF181	Q9P0P0
RNF183	Q96D59
RNF186	Q9NXI6
RNF185	Q96GF1
RNF187	Q5TA31
PTBP1	P26599
DNMT3L	Q9UJW3
DNMT3B	Q9UBC3
IQCB1	Q15051
CHUK	O15111
DNMT3A	Q9Y6K1
KCNAB1	Q14722
ELSPBP1	Q96BH3
KCNAB2	Q13303
KCNAB3	O43448
PTBP2	Q9UKA9
PTBP3	O95758
CX3CR1	P49238
WBP1	Q96G27
WBP2	Q969T9
WBP4	O75554
MROH1	Q8NDA8
RBBP4	Q09028
MROH5	Q6ZUA9
RBBP5	Q15291
ANKAR	Q7Z5J8
RBBP8	Q99708
RBBP9	O75884
MROH8	Q9H579
RBBP6	Q7Z6E9
RBBP7	Q16576
MROH6	A6NGR9
FDXACB1	Q9BRP7
RPL13AP3	Q6NVV1
SLC46A3	Q7Z3Q1
SLC46A1	Q96NT5
ABRA	Q8N0Z2
GOLGA2	Q08379
GOLGA3	Q08378
GOLGA4	Q13439
GOLGA5	Q8TBA6
GOLGA1	Q92805
GOLGA7	Q7Z5G4
ABT1	Q9ULW3
MCCC2	Q9HCC0
IQCF5	A8MTL0
IQCF3	P0C7M6
MCCC1	Q96RQ3
MTUS1	Q9ULD2
MTUS2	Q5JR59
IQCF1	Q8N6M8
OVOL1	O14753
IQCF2	Q8IXL9
MTURN	Q8N3F0
OVOL2	Q9BRP0
GUF1	Q8N442
OR4C12	Q96R67
OR4C11	Q6IEV9
OR4C16	Q8NGL9
OR4C15	Q8NGM1
OR4C13	Q8NGP0
TSHZ3	Q63HK5
TSHZ1	Q6ZSZ6
TSHZ2	Q9NRE2
GMCL1	Q96IK5
GMCL2	Q8NEA9
FAM180B	Q6P0A1
PTPRN2	Q92932
STK11IP	Q8N1F8
MEIG1	Q5JSS6
KNOP1	Q1ED39
C21orf91	Q9NYK6
CCDC88B	A6NC98
LACC1	Q8IV20
CCDC88A	Q3V6T2
GOLGB1	Q14789
CCDC88C	Q9P219
CX3CL1	P78423
C21orf58	P58505
GUK1	Q16774
B3GNT9	Q6UX72
B3GNT8	Q7Z7M8
POC5	Q8NA72
B3GNT7	Q8NFL0
B3GNT6	Q6ZMB0
B3GNT5	Q9BYG0
B3GNT4	Q9C0J1
B3GNT3	Q9Y2A9
FAM20B	O75063
FAM20C	Q8IXL6
B3GNT2	Q9NY97
ALDOC	P09972
FAM20A	Q96MK3
ALDOB	P05062
ALDOA	P04075
MYCBP	Q99417
SLC20A2	Q08357
SLC20A1	Q8WUM9
MCCD1	P59942
FAM184B	Q9ULE4
FAM184A	Q8NB25
OR4C45	A6NMZ5
SHOC2	Q9UQ13
OR4C46	A6NHA9
PCP4L1	A6NKN8
CXorf51A	A0A1B0GTR3
PODN	Q7Z5L7
LBX1	P52954
LBX2	Q6XYB7
POGK	Q9P215
CIB4	A0PJX0
CIB3	Q96Q77
CIB2	O75838
CIB1	Q99828
FAM186B	Q8IYM0
POGZ	Q7Z3K3
FAM186A	A6NE01
MEIOC	A2RUB1
MEIOB	Q8N635
CFAP410	O43822
ILVBL	A1L0T0
KIAA2026	Q5HYC2
RPL7L1	Q6DKI1
FAM185A	Q8N0U4
EOGT	Q5NDL2
H6PD	O95479
NID1	P14543
NID2	Q14112
SDCBP	O00560
FOPNL	Q96NB1
HSPA9	P38646
HSPA8	P11142
HSPA5	P11021
HSPA4	P34932
HSPA7	P48741
PTCH1	Q13635
HSPA6	P17066
PTCH2	Q9Y6C5
HSPA2	P54652
FAM187B	Q17R55
HSPB9	Q9BQS6
HSPB6	O14558
LRRC74A	Q0VAA2
HSPB8	Q9UJY1
HSPB7	Q9UBY9
HSPB2	Q16082
HSPB1	P04792
HSPB3	Q12988
POLB	P06746
ALDH2	P05091
POLI	Q9UNA4
POLL	Q9UGP5
POLK	Q9UBT6
GUSB	P08236
POLE	Q07864
POLH	Q9Y253
POLG	P54098
CTPS2	Q9NRF8
RNF208	Q9H0X6
CTPS1	P17812
FAM189B	P81408
RNF207	Q6ZRF8
GCSAML	Q5JQS6
KCNA10	Q16322
PON3	Q15166
PON2	Q15165
PON1	P27169
POMP	Q9Y244
LCAT	P04180
HSPD1	P10809
ACAN	P16112
NRIP2	Q9BQI9
NRIP1	P48552
NRIP3	Q9NQ35
PTCD3	Q96EY7
POLQ	O75417
PTCD1	O75127
PTCD2	Q8WV60
NIFK	Q9BYG3
POLN	Q7Z5Q5
POLM	Q9NP87
LCA5	Q86VQ0
HSPE1	P61604
MEIS3	Q99687
MEIS2	O14770
POMC	P01189
MEIS1	O00470
PMP22	Q01453
POMK	Q9H5K3
POP5	Q969H6
POP7	O75817
POP1	Q99575
POP4	O95707
F11R	Q9Y624
ACCS	Q96QU6
ACE2	Q9BYF1
B4GAT1	O43505
CILP	O75339
F13B	P05160
ACHE	P22303
MTMR10	Q9NXD2
MTMR12	Q9C0I1
MTMR11	A4FU01
MTMR14	Q8NCE2
PCMTD2	Q9NV79
GGTLC2	Q14390
GGTLC1	Q9BX51
CHAF1B	Q13112
CHAF1A	Q13111
NINL	Q9Y2I6
PCMTD1	Q96MG8
EPS15L1	Q9UBC2
SETSIP	P0DME0
CINP	Q9BW66
POT1	Q9NUX5
ACSBG1	Q96GR2
ACSBG2	Q5FVE4
NIP7	Q9Y221
CIPC	Q9C0C6
GOLM1	Q8NBJ4
TTC30B	Q8N4P2
TTC30A	Q86WT1
YPEL1	O60688
PTF1A	Q7RTS3
YPEL5	P62699
CRLF3	Q8IUI8
CRLF1	O75462
YPEL3	P61236
MIXL1	Q9H2W2
YPEL2	Q96QA6
CRLF2	Q9HC73
SLC27A1	Q6PCB7
HIKESHI	Q53FT3
ATXN3L	Q9H3M9
CIR1	Q86X95
CISH	Q9NSE2
ATXN2L	Q8WWM7
ACLY	P53396
SLC27A6	Q9Y2P4
SLC27A3	Q5K4L6
SLC27A2	O14975
SLC27A5	Q9Y2P5
SLC27A4	Q6P1M0
LCN9	Q8WX39
CYP2C19	P33261
CYP2C18	P33260
HSP90B1	P14625
IGSF21	Q96ID5
AGXT2	Q9BYV1
IGSF11	Q5DX21
IGSF10	Q6WRI0
DMXL1	Q9Y485
DMXL2	Q8TDJ6
LCN2	P80188
LCN1	P31025
ACO1	P21399
ACO2	Q99798
NIT1	Q86X76
NIT2	Q9NQR4
MCFD2	Q8NI22
ACP6	Q9NPH0
ACP7	Q6ZNF0
ACP4	Q9BZG2
ACP5	P13686
ACP2	P11117
ACP1	P24666
EIF5A	P63241
EIF5B	O60841
LCOR	Q96JN0
LCP2	Q13094
LCP1	P13796
ACPP	P15309
MGRN1	O60291
ATXN1L	P0C7T5
EIF4H	Q15056
EIF4E	P06730
EIF4B	P23588
NTRK1	P04629
NTRK2	Q16620
CIZ1	Q9ULV3
NTRK3	Q16288
TTC39C	Q8N584
TTC39A	Q5SRH9
TTC39B	Q5VTQ0
EIF3M	Q7L2H7
MCM3AP	O60318
EIF3K	Q9UBQ5
EIF3L	Q9Y262
EIF3I	Q13347
EIF3J	O75822
EIF3G	O75821
EIF3H	O15372
EIF3E	P60228
EIF3F	O00303
ATXN10	Q9UBB4
EIF3C	Q99613
EIF3D	O15371
EIF3A	Q14152
EIF3B	P55884
PPAN	Q9NQ55
LCTL	Q6UWM7
ACTB	P60709
PPAT	Q06203
PIEZO1	Q92508
EPC1	Q9H2F5
EIF2D	P41214
EPC2	Q52LR7
EIF2A	Q9BY44
CTRB2	Q6GPI1
CTRB1	P17538
CIRBP	Q14011
ISLR2	Q6UXK2
CSNK1D	P48730
CSNK1E	P49674
PPA2	Q9H2U2
PPA1	Q15181
CSNK2B	P67870
OR2AT4	A6NND4
EIF1B	O60739
KALRN	O60229
PPCS	Q9HAB8
XRRA1	Q6P2D8
KRTAP8-1	Q8IUC2
IFFO2	Q5TF58
RAB27A	P51159
RAB27B	O00194
PPBP	P02775
IFFO1	Q0D2I5
IL1F10	Q8WWZ1
IGSF9B	NP_001264214
ACY3	Q96HD9
ACY1	Q03154
RAB22A	Q9UL26
ERMARD	XP_005267103
EPG5	Q9HCE0
OR2B8P	P59922
PBRM1	Q86U86
SNRPGP15	A8MWD9
FAM177A1	Q8N128
EPGN	Q6UW88
SLX4IP	Q5VYV7
SCNN1G	P51170
SCNN1D	P51172
SCNN1B	P51168
SCNN1A	P37088
PPIF	P30405
HHIPL2	Q6UWX4
PPIE	Q9UNP9
HHIPL1	Q96JK4
ANKS6	Q68DC2
PPIH	O43447
PPIG	Q13427
PPIB	P23284
PPIA	P62937
PPID	Q08752
ST13P4	Q8IZP2
PPIC	P45877
HIGD1A	Q9Y241
HIGD1B	Q9P298
NCKIPSD	Q9NZQ3
HIGD1C	A8MV81
OR2AK2	Q8NG84
ADA2	Q9NZK5
HIGD2B	Q4VC39
HIGD2A	Q9BW72
OR2AJ1	Q8NGZ0
MELTF	P08582
MS4A5	Q9H3V2
CUEDC2	Q9H467
MS4A3	Q96HJ5
LDB1	Q86U70
C12orf4	Q9NQ89
NGLY1	Q96IV0
MS4A7	Q9GZW8
LDB3	O75112
ADAR	P55265
LDB2	O43679
ADAL	Q6DHV7
EPN1	Q9Y6I3
EPN2	O95208
EPN3	Q9H201
OR2B11	Q5JQS5
OR2AP1	Q8NGE2
MS4A2	Q01362
CUEDC1	Q9NWM3
MS4A1	P11836
AGPAT5	Q9NUQ2
ANKS3	Q6ZW76
ADD3	Q9UEY8
PPOX	P50336
AGPAT1	Q99943
AGPAT2	O15120
ADD1	P35611
AGPAT3	Q9NRZ7
ADD2	P35612
AGPAT4	Q9NRZ5
WDCP	Q9H6R7
SSRP1	Q08945
EPOP	A6NHQ4
EPOR	P19235
ACKR4	Q9NPB9
ACKR3	P25106
ACKR2	O00590
ACKR1	Q16570
ARPC5L	Q9BPX5
EPRS	P07814
EPS8	Q12929
ADGB	Q8N7X0
C10orf25	Q5T742
ANAPC13	Q9BS18
ANAPC15	P60006
ANAPC16	Q96DE5
C10orf62	Q5T681
ADH7	Q6IRT1
ADH5	Q6IRT1
ANAPC10	Q9UM13
ADH6	Q6IRT1
ANAPC11	Q9NYG5
ACMSD	Q8TDX5
LDHC	P07864
ADH4	Q6IRT1
LDHB	P07195
LDHA	P00338
LDHD	Q86WU2
C10orf55	Q5SWW7
RMDN3	Q96TC7
RMDN2	Q96LZ7
RMDN1	Q96DB5
FOSL2	P15408
FOSL1	P15407
ADI1	Q9BV57
TOLLIP	Q9H0E2
PPT1	P50897
PPT2	Q9UMR5
C10orf82	Q8WW14
GMEB1	Q9Y692
GMEB2	Q9UKD1
ARPC1B	O15143
ARPC1A	Q92747
C10orf71	Q711Q0
